keepprob;mixl1l2;Lambda;test_acc;epoch
0.7;0.000001;0.01;0.9697434;23
0.7;0.000001;0.001;0.9465979;13
0.7;0.000001;0.0001;0.9606804;15
0.7;0.000001;0.0;0.9613776;11
0.7;0.00000001;0.01;0.9375349;15
0.7;0.00000001;0.001;0.9623536;20
0.7;0.00000001;0.0001;0.9668154;18
0.7;0.00000001;0.0;0.975739;22
0.7;0.0000000001;0.01;0.9548243;25
0.7;0.0000000001;0.001;0.9732292;18
0.7;0.0000000001;0.0001;0.9836866;27
0.7;0.0000000001;0.0;0.9709983;22
0.7;0.0;0.01;0.9662577;20
0.7;0.0;0.001;0.9598438;12
0.7;0.0;0.0001;0.9379532;14
0.7;0.0;0.0;0.9730898;25
0.6;0.000001;0.01;0.9754601;30
0.6;0.000001;0.001;0.9636085;14
0.6;0.000001;0.0001;0.9599833;13
0.6;0.000001;0.0;0.9571946;16
0.6;0.00000001;0.01;0.9412995;14
0.6;0.00000001;0.001;0.9683492;20
0.6;0.00000001;0.0001;0.9541271;16
0.6;0.00000001;0.0;0.9683492;24
0.6;0.0000000001;0.01;0.9613776;28
0.6;0.0000000001;0.001;0.9616565;21
0.6;0.0000000001;0.0001;0.9612381;23
0.6;0.0000000001;0.0;0.974763;23
0.6;0.0;0.01;0.9592861;22
0.6;0.0;0.001;0.9682097;21
0.6;0.0;0.0001;0.9559398;21
0.6;0.0;0.0;0.9684886;22
0.5;0.000001;0.01;0.9716955;31
0.5;0.000001;0.001;0.9670942;35
0.5;0.000001;0.0001;0.9474345;20
0.5;0.000001;0.0;0.9818739;30
0.5;0.00000001;0.01;0.9354434;23
0.5;0.00000001;0.001;0.9718349;27
0.5;0.00000001;0.0001;0.9411601;16
0.5;0.00000001;0.0;0.9576129;21
0.5;0.0000000001;0.01;0.9406024;29
0.5;0.0000000001;0.001;0.9669548;30
0.5;0.0000000001;0.0001;0.9743447;38
0.5;0.0000000001;0.0;0.9538483;32
0.5;0.0;0.01;0.9633296;22
0.5;0.0;0.001;0.9726715;32
0.5;0.0;0.0001;0.9602621;27
0.5;0.0;0.0;0.9411601;19
1.0;0.000001;0.01;0.9364194;23
1.0;0.000001;0.001;0.9394869;15
1.0;0.000001;0.0001;0.9598438;25
1.0;0.000001;0.0;0.9562186;21
1.0;0.00000001;0.01;0.9449247;17
1.0;0.00000001;0.001;0.9597044;17
1.0;0.00000001;0.0001;0.9541271;20
1.0;0.00000001;0.0;0.9711378;23
1.0;0.0000000001;0.01;0.9397658;21
1.0;0.0000000001;0.001;0.9484105;18
1.0;0.0000000001;0.0001;0.947295;21
1.0;0.0000000001;0.0;0.9626325;24
1.0;0.0;0.01;0.9478528;25
1.0;0.0;0.001;0.9617959;25
1.0;0.0;0.0001;0.9506414;15
1.0;0.0;0.0;0.9630508;24
